countrycode,country,year,rgdpe,emp,hc,rkna
THA,"Thailand",1979,148778.25,19.1904697418213,1.54725933074951,502507.8125
THA,"Thailand",1980,152920.0625,22.6961193084717,1.56043255329132,536370.3125
THA,"Thailand",1981,160474.75,21.0478458404541,1.61267733573914,572729.875
THA,"Thailand",1982,167901.171875,25.054370880127,1.66667127609253,607682.4375
THA,"Thailand",1983,175709.484375,23.1369895935059,1.71918392181396,651115.5
THA,"Thailand",1984,188282.890625,24.4327507019043,1.76239216327667,697955.375
THA,"Thailand",1985,196582.03125,24.5576076507568,1.80668640136719,740157.8125
THA,"Thailand",1986,203439.125,25.5059986114502,1.85209393501282,780307.25
THA,"Thailand",1987,218301.71875,26.9475440979004,1.89864253997803,835062.0625
THA,"Thailand",1988,240382.75,28.3721694946289,1.94636118412018,909245.0625
THA,"Thailand",1989,262188.03125,29.1710300445557,1.99527895450592,1006770.125
THA,"Thailand",1990,284285.5,31.6182479858398,2.04542636871338,1142415.125
THA,"Thailand",1991,308353.875,29.8940982818604,2.0642364025116,1287288.5
THA,"Thailand",1992,346397.25,31.3842372894287,2.08321952819824,1439956.875
THA,"Thailand",1993,379822.21875,31.1221599578857,2.10237717628479,1605748.625
THA,"Thailand",1994,420908,30.4696083068848,2.12171101570129,1791067.25
THA,"Thailand",1995,473393.125,31.0286674499512,2.14122247695923,2000974.25
THA,"Thailand",1996,521970.59375,31.3330974578857,2.16091346740723,2220655.25
THA,"Thailand",1997,490938.53125,31.88623046875,2.18078565597534,2353381.5
THA,"Thailand",1998,443433.28125,30.301513671875,2.20084047317505,2361470.25
THA,"Thailand",1999,448171.90625,30.9678440093994,2.22107982635498,2370270.5
THA,"Thailand",2000,459948.96875,31.7406826019287,2.24150514602661,2389614.75
THA,"Thailand",2001,466514,32.638313293457,2.27084016799927,2414770.25
THA,"Thailand",2002,498035.875,33.7324523925781,2.30055904388428,2446716.5
THA,"Thailand",2003,553897.9375,34.6506996154785,2.33066654205322,2501804.25
THA,"Thailand",2004,592953.25,35.6596298217773,2.361168384552,2585937
THA,"Thailand",2005,620112.375,36.2453689575195,2.3920693397522,2700127.75
